Дата,Категория,Подробности транзакции,Доходы/Расходы,Сумма
2024-05-01,Подработка,Оплата за подработку в кафе,Доходы,5000.0
2024-05-01,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-01,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-02,Еда,Завтрак в столовой,Расходы,1500.0
2024-05-02,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-02,Учеба,Покупка учебников,Расходы,2000.0
2024-05-02,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-03,Доход,Стипендия,Доходы,42000.0
2024-05-03,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-03,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-03,Еда,Обед в столовой,Расходы,1300.0
2024-05-04,Досуг,Посещение кинотеатра,Расходы,1800.0
2024-05-04,Еда,Покупка продуктов в супермаркете,Расходы,2700.0
2024-05-04,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-04,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-05,Транспорт,Такси до университета,Расходы,1300.0
2024-05-05,Еда,Обед в столовой,Расходы,1000.0
2024-05-05,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-06,Доход,Оплата за подработку на мероприятии,Доходы,6000.0
2024-05-06,Досуг,Посещение музея,Расходы,500.0
2024-05-06,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-06,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-06,Еда,Ужин в ресторане с друзьями,Расходы,4000.0
2024-05-07,Досуг,Билет на концерт,Расходы,10000.0
2024-05-07,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-07,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-07,Еда,Завтрак в столовой,Расходы,1500.0
2024-05-08,Доход,Оплата за выполнение фриланс-проекта,Доходы,10000.0
2024-05-08,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-08,Транспорт,Такси до дома,Расходы,1500.0
2024-05-08,Еда,Покупка продуктов в супермаркете,Расходы,5000.0
2024-05-09,Учеба,Покупка учебников,Расходы,4000.0
2024-05-09,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-09,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-09,Еда,Обед в столовой,Расходы,1400.0
2024-05-10,Досуг,Боулинг с друзьями,Расходы,5000.0
2024-05-10,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-10,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-10,Еда,Ужин в столовой,Расходы,1700.0
2024-05-11,Доход,Подарок от родственника,Доходы,5000.0
2024-05-11,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-11,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-11,Еда,Завтрак в столовой,Расходы,1200.0
2024-05-12,Учеба,Покупка учебников,Расходы,3000.0
2024-05-12,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-12,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-12,Еда,Обед в столовой,Расходы,1200.0
2024-05-13,Досуг,Посещение выставки,Расходы,2000.0
2024-05-13,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-13,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-13,Еда,Ужин в столовой,Расходы,1800.0
2024-05-14,Досуг,Билет в кино,Расходы,2000.0
2024-05-14,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-14,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-14,Еда,Завтрак в столовой,Расходы,1000.0
2024-05-15,Транспорт,Такси до университета,Расходы,1500.0
2024-05-15,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-15,Еда,Обед в столовой,Расходы,1200.0
2024-05-16,Доход,Оплата за подработку на выходных,Доходы,5000.0
2024-05-16,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-16,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-16,Досуг,Посещение парка аттракционов,Расходы,2000.0
2024-05-16,Еда,Ужин в столовой,Расходы,2000.0
2024-05-17,Досуг,Посещение выставки,Расходы,2400.0
2024-05-17,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-17,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-17,Еда,Завтрак в столовой,Расходы,1300.0
2024-05-18,Учеба,Покупка учебников,Расходы,500.0
2024-05-18,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-18,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-18,Еда,Покупка продуктов в супермаркете,Расходы,10000.0
2024-05-19,Досуг,Боулинг с друзьями,Расходы,6000.0
2024-05-19,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-19,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-19,Еда,Ужин в столовой,Расходы,1300.0
2024-05-20,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-20,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-20,Еда,Обед в столовой,Расходы,1500.0
2024-05-21,Досуг,Посещение кинотеатра,Расходы,2000.0
2024-05-21,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-21,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-21,Еда,Покупка продуктов в супермаркете,Расходы,1000.0
2024-05-22,Доход,Оплата за участие в маркетинговом исследовании,Доходы,5000.0
2024-05-22,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-22,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-22,Досуг,Посещение парка аттракционов,Расходы,4000.0
2024-05-22,Еда,Завтрак в столовой,Расходы,1500.0
2024-05-23,Учеба,Покупка учебников,Расходы,600.0
2024-05-23,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-23,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-23,Еда,Обед в столовой,Расходы,1500.0
2024-05-24,Досуг,Посещение выставки,Расходы,2500.0
2024-05-24,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-24,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-24,Еда,Покупка продуктов в супермаркете,Расходы,1200.0
2024-05-25,Доход,Оплата за выполнение фриланс-проекта,Доходы,5000.0
2024-05-25,Транспорт,Такси до университета,Расходы,2500.0
2024-05-25,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-25,Еда,Обед в столовой,Расходы,1200.0
2024-05-26,Досуг,Посещение кинотеатра,Расходы,2000.0
2024-05-26,Еда,Покупка продуктов в супермаркете,Расходы,10000.0
2024-05-26,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-26,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-27,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-27,Еда,Обед в столовой,Расходы,1500.0
2024-05-27,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-28,Досуг,Посещение парка аттракционов,Расходы,3000.0
2024-05-28,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-28,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-28,Еда,Завтрак в столовой,Расходы,800.0
2024-05-29,Доход,Оплата за участие в фокус-группе,Доходы,5000.0
2024-05-29,Досуг,Посещение выставки,Расходы,1500.0
2024-05-29,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-29,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-29,Еда,Ужин в ресторане,Расходы,2000.0
2024-05-30,Транспорт,Такси до университета,Расходы,900.0
2024-05-30,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-30,Еда,Обед в столовой,Расходы,1200.0
2024-05-31,Учеба,Покупка учебников,Расходы,2000.0
2024-05-31,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-31,Транспорт,Проезд на общественном транспорте,Расходы,90.0
2024-05-31,Еда,Покупка продуктов в супермаркете,Расходы,1000.0
